company,category,sales_in_millions_2019,sales_per_unit_thousands_2019,franchised_units_2019,company_owned_units_2019,total_units_2019,unit_change_from_2018
mcdonalds,burger,40413,2912,13154,692,13846,-66
starbucks,snack,21550,1454,6768,8273,15041,216
chick_fil_a,chicken,11000,4517,2500,0,2500,130
taco_bell,global,11000,1502,6622,467,7089,181
burger_king,burger,10300,1399,7294,52,7346,16
subway,sandwich,10000,410,23802,0,23802,-996
wendys,burger,9865,1666,5495,357,5852,30
dunkin,snack,9220,968,9630,0,9630,42
dominos,pizza,7100,1178,5815,342,6157,253
panera_bread,sandwich,5925,2751,1202,1023,2225,132
chipotle,global,5520,2195,0,2580,2580,130
pizza_hut,pizza,5380,714,7393,23,7416,-40
kfc,chicken,4820,1196,4009,56,4065,-9
sonic_drive_in,burger,4687,1320,3329,197,3526,-74
arbys,sandwich,3885,1183,2170,1189,3359,30
little_caesars,pizza,3850,899,3652,561,4213,-49
panda_express,global,3800,1765,138,2046,2184,80
dairy_queen,snack,3760,713,4379,2,4381,-25
popeyes_chicken,chicken,3750,1541,2458,41,2499,131
jack_in_the_box,burger,3505,1565,2106,137,2243,6
papa_johns,pizza,2655,837,2544,598,3142,-57
whataburger,burger,2566,3080,127,703,830,5
jimmy_johns,sandwich,2105,759,2735,52,2787,-13
hardees,burger,2070,1126,1713,117,1830,-16
zaxbys,chicken,1840,2030,755,149,904,6
culvers,burger,1730,2435,726,6,733,46
five_guys,burger,1662,1359,872,496,1368,10
raising_canes,chicken,1466,3208,86,371,457,57
wingstop,chicken,1400,1250,1200,31,1231,107
carls_jr,burger,1390,1252,1052,48,1100,-21
jersey_mikes,sandwich,1340,824,1595,72,1667,173
bojangles,chicken,1290,1717,434,312,746,-10
in_n_out_burger,burger,1000,2882,0,354,354,14
steak_n_shake,burger,932,1673,183,365,577,-19
el_pollo_loco,chicken,894,1865,277,203,480,4
qdoba,global,850,1250,380,350,730,-21
checkers_rallys,burger,862,1087,634,256,890,4
firehouse_subs,sandwich,855,729,1115,38,1153,24
del_taco,global,850,1554,296,300,596,16
tim_hortons,sandwich,840,1165,715,0,715,-12
moes,global,785,1095,719,3,722,3
papa_murphys,pizza,748,551,1301,67,1368,-69
mcalisters_deli,sandwich,719,1629,438,31,469,16
jasons_deli,sandwich,705,2478,110,180,290,11
churchs_chicken,chicken,700,688,885,165,1050,-35
shake_shack,burger,630,4214,22,163,185,59
marcos_pizza,pizza,628,726,875,40,915,32
baskin_robbins,snack,626,247,2524,0,2524,-26
tropical_smoothie,snack,577,769,833,1,834,115
auntie_annes,snack,563,562,1200,11,1211,-20
